tconst,text,genre,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt4329936,"At the close of World War II, Frank Aldridge, a war correspondent tasked by the newly formed UN, interviews German prisoners of war in an allied interment camp. He hears about the war from the perspective of six different survivors.",War,movie,The Front,The Front,0,2018,\N,65,"Action,Drama,War"
tt7779524,A policeman begins a revenge against a drug leader after the death of his brother. In his crusade take the help of a friends and the ex-girlfriend of drug leader.,War,movie,Zhan Du Xiao,Zhan Du Xiao,0,2018,\N,85,"Action,Thriller,War"
tt5774832,"When war breaks out in Spain, people from all the venues of life joined the Abraham Lincoln Brigade to fight for freedom over fascism, on what became the prelude of WWII.",War,movie,Dancing with Sancho Panza,Dancing with Sancho Panza,0,2018,\N,\N,"Drama,History,War"
tt4530422,"A small group of American soldiers find horror behind enemy lines on the eve of D-Day.On the eve of D-Day, the 5th of June, 1944, several American paratroopers are dropped behind enemy lines to carry out a mission crucial to the invasion's success: destroy a radio tower built in a little castle of an old French town that the Third Reich uses for communication between Berlin and Normandy beaches' bunkers. Due to the intense enemy fire, the planes are shot down and most soldiers die in the landing or are killed by the Nazis' night patrols after they land. However, a private named Ed Boyce survives to find Corporal Ford, a last-minute incorporation from Italy and a veteran expert in bombs and explosives, rogue sniper Tibbet, war photographer Chase, and finally private Dawson. After they watch the killing of their superior Sargeant Eldson by a Nazi night patrol, Ford becomes leader of the group and they try to get the town with the tower in order to complete the mission. In the forest close to the town they meet Chloe, a villager who assists the soldiers in her home with her elderly aunt and little brother Paul. But the mission gets complicated when, by accident, Boyce ends up inside the Nazi radio tower, only to find horrible secret experiments with human beings that could empower a victory for Hitler and would change the fate of the world forever. With D-Day approaching, Boyce and the others begin to realize there is more going on in this Nazi-occupied village than a simple military operation. They not only have to fight against soldiers to destroy the radio tower, but also against the results of the experiments to turn the entire place to ruins. All this before dawn and Hitler gets his Third Reich of a thousand years that he promised.On the eve of D-Day, a paratrooper squad is sent to destroy a German radio tower in an old church; however, their plane is shot down before they can reach their target, leaving only five apparent survivors, Corporal Ford and soldiers Boyce, Tibbet, Chase, and Dawson. Dawson is killed by a landmine but the team continues onward, running into a French woman named Chloe who agrees to take them into the village where the radio tower is located. The soldiers learn that Chloe lives with her 8-year-old brother Paul and her aunt, who has been disfigured by Nazi experiments taking place in the church. After Tibbet and Chase depart to check the scheduled rendezvous site, the remaining soldiers are forced to hide in the attic when a Nazi patrol performs a routine inspection. But when SS Hauptsturmführer Wafner attempts to rape Chloe, Boyce attacks him, forcing the soldiers to take him prisoner..D-Day, 6 June 1944. A platoon of US paratroopers enters a village to discover that there is a German laboratory nearby. The Germans are developing a serum that turns their troops into indestructible super-soldiers. The paratroopers set out to destroy the laboratory.",War,movie,Overlord,Overlord,0,2018,\N,110,"Action,Adventure,Horror"
tt5178964,"This is a story about the soldiers of a cannon battery in the First World War that, like hundreds of thousands of others, made the glory of the Serbian army become immortal.",War,movie,Soldier's Lullaby,Zaspanka za vojnike,0,2018,\N,120,War
tt3759298,"In 1941, a 16 year-old aspiring artist and her family are deported to Siberia amidst Stalin's brutal dismantling of the Baltic region. One girl's passion for art and her never-ending hope will break the silence of history.",War,movie,Ashes in the Snow,Ashes in the Snow,0,2018,\N,98,"Drama,History,Romance"
tt6931414,"A historical film about the siege of Ansi Fortress and the epic eighty-eight day battle that Yang Man-chun and his Goguryeo troops fought against 500,000 invading Tang dynasty men to defend it.",War,movie,The Great Battle,Ansisung,0,2018,\N,136,"Action,Drama,History"
tt8538974,"In Anyang, Henan Province in 1939, a thieving tomb excavation triggered the struggle between the villagers for plundering ancient cultural relics Baoding. However, unexpectedly attracted the Japanese army. The Japanese army and the villagers were in between the battle of plundering treasures and conservation treasures. Was it a fake replacement, or the real one with a false cover? In order to protect the villagers save their lives, it had been waken up the robbery of Baoding's pawnshop Liu Zhang's final conscience and discovered that it was blown up and destroyed the tripod, and died together with the Japanese army to preserve the true spirit of life.",War,movie,An Yang Jie,An Yang Jie,0,2018,\N,84,War
tt1235187,"A rites of passage story of a bi-racial teen struggling for survival in Nazi Germany.Germany 1944: 15-year old Leyna (Amandla Stenberg), daughter of a white German mother and a black father, lives in fear due to the color of her skin. When she meets Lutz (George MacKay), the son of a prominent SS officer and a member of the Hitler Youth - mandatory for all Aryan boys since 1936 - the two fall helplessly in love, putting both their lives at risk. An original coming of age story through the eyes of a bi-racial teen as she witnesses the persecution of Jews and those deemed 'non-pure'.",War,movie,Where Hands Touch,Where Hands Touch,0,2018,\N,122,"Drama,Romance,War"
tt6396074,"The Mercy of the jungle is a road movie that deals with wars in Congo through the eyes of two lost soldiers in the jungle by showcasing their struggle, weakness and hope.At the outbreak of the Second Congo War, Rwandan soldiers SERGEANT XAVIER and PRIVATE FAUSTIN are sent to hunt down Hutu rebels in the vast jungles of eastern Congo. Xavier is a stoic veteran of the ethnic wars that have plagued his country for years. Faustin is an eager young recruit who joined the army to avenge the death of his father and brothers. Under the relentless command of MAJOR KAYITARE, they march eighty kilometers a day in pursuit of the murderers of nearly one million Tutsis during the Rwandan genocide four years ago. One night, Xavier and Faustin are accidentally left behind when the battalion races out to chase fleeing rebels. They try to catch up, but must take refuge in the forest when local Congolese militiamen catch sight of them. Lost, with no hope of catching their men, they decide to press west through the jungle toward Kasai Province where Xavier believes the Major is headed next. It will not be easy. In the last war, Xavier saw hundreds die in the jungle without adequate supplies. Still, without their battalion they are as good as dead. After a few desperate weeks of hunger, Faustin finds a way to catch food with skills he learned back on his farm. Xavier keeps them out of trouble with local patrols and mercenary mining operations, saving Faustin's life on more than one occasion. Along the way, they grow close. Xavier learns that Faustin has a wife and vows to get him home to her. Xavier had a wife once, but she died while he was away fighting the last war. He believes it was God's punishment for the things he did then, when he and the Major chased rebel families into this forest and condemned them to die of hunger and sickness. When Xavier falls into the feverish grip of malaria, he's tortured by visions of the dead. Unable to walk, Faustin carries him on his back until they finally emerge from the forest, four months after plunging into its depths. A local village takes them in. Xavier recovers and learns that the Rwandan Army is camped on a mountain in the distance. He and Faustin set out to rejoin their troops, even though by now both question their place in the war. They reach the mountain, narrowly dodging the bullets of their own paranoid troops. Xavier and Faustin are separated and interrogated by a captain who believes them to be rebel spies. After several days, the Major hears of Xavier's return and comes to his aid. Faustin has been badly beaten and will die unless the Major sends him home to a hospital. Xavier begs him to help, but the Major refuses to waste fuel on one second-rate soldier. As Xavier grows insolent, the Major threatens to throw him back into the stockade to rot. Xavier insists the Major might as well shoot him if the private dies. Finally, the Major relents. As troops load Faustin into a supply truck bound for Rwanda, Xavier bids him a tearful goodbye and tells him to return home and raise his son in peace. That night, during a vicious rebel assault, Xavier refuses to shoot an enemy child soldier and is killed. Sometime later, Faustin raises crops with his wife and son back in Rwanda. He is forever grateful for Xavier's sacrifice, happy to be free of the jungle and done with war.",War,movie,The Mercy of the Jungle,The Mercy of the Jungle,0,2018,\N,91,"Drama,War"
tt2368254,"One of the most celebrated war correspondents of our time, Marie Colvin is an utterly fearless and rebellious spirit, driven to the frontline of conflicts across the globe to give voice to the voiceless.In a world where journalism is under attack, Marie Colvin (Rosamund Pike) is one of the most celebrated war correspondents of our time. Colvin is an utterly fearless and rebellious spirit, driven to the frontlines of conflicts across the globe to give voice to the voiceless, while constantly testing the limits between bravery and bravado. After being hit by a grenade in Sri Lanka, she wears a distinctive eye patch and is still as comfortable sipping martinis with London's elite as she is confronting dictators. Colvin sacrifices loving relationships, and over time, her personal life starts to unravel as the trauma she's witnessed takes its toll. Yet, her mission to show the true cost of war leads her -- along with renowned war photographer Paul Conroy (Jamie Dornan) -- to embark on the most dangerous assignment of their lives in the besieged Syrian city of Homs.",War,movie,A Private War,A Private War,0,2018,\N,110,"Biography,Drama,War"
tt7162758,An action-war drama based on the 1967 Nathu La and Cho La clashes along the Sikkim border after 1962 Sino-Indian War.,War,movie,Paltan,Paltan,0,2018,\N,150,"Action,Drama,History"
tt6864046,"Life and intrigue in an ancient Chinese court.Set during China's Three Kingdom's era (AD 220-280). The story of a great king and his people, who will be expelled from their homeland and will aspire to claim it. The king, violent and ambitious, of mysterious methods and motives; his general, a visionary who yearns to win the final battle but needs to prepare his plans in secret; the women of the palace, who struggle to find redemption in a world where they have no place; and a commoner called ""Lord of all the world"", will be the characters around who turn the inexorable forces of this story.",War,movie,Shadow,Ying,0,2018,\N,116,"Action,Drama,War"
tt6679794,"A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.After being declared ""Outlaw"" by the occupying English Empire, Robert the Bruce (Chris Pine) raises an army of Scottish fighters in rebellion. Twists and turns all across the Scottish countryside lead this film on an epic, ""true to historical events"", journey that captures heroism at its core!",War,movie,Outlaw King,Outlaw King,0,2018,\N,121,"Action,Biography,Drama"
tt5094192,"The story of Gregorio 'Goyo' del Pilar, one of the youngest Generals during the Philippine-American War who fought in the historic Battle of Tirad Pass.",War,movie,Goyo: Ang batang heneral,Goyo: Ang batang heneral,0,2018,\N,155,"Action,Biography,History"
tt8870808,"Based on a true story EXTREME NUMBER is about a young refugee from Chechnya who comes to Germany and is thrown into prison in Berlin. He then joins a terrorist group in Berlin that gives him a very special order. Authentic war documentation is embedded in the film as the Chechen protagonist's flashbacks. This is real coverage of war, 1996 - 2000 in Chechnya, the decimation of a group of young men surrounding Shamil Basayev, who was at the time the most wanted terrorist in the Russian Federation. Real and fictional levels of the story blend together as a whole.",War,movie,Extreme Number,Extreme Number,0,2018,\N,81,"Drama,History,War"
tt7220640,"Anni, a daughter of a wealthy family and used to secure life, falls in love with Veikko, a war invalid of the Continuation War. Anni leaves her past behind her and starts leading the life of a pioneer, in the wild forests of northern Karelia, in a settlement farm. After a rosy start, the fate crushes Anni's dreams and her love for Veikko is put to a test.",War,movie,Oma maa,Oma maa,0,2018,\N,108,"Drama,History,Romance"
tt5475734,"This is the story of the highly regarded fighter squadron, in which served mainly airmen from Poland, in the history of aerial combat and their heroic defence of England during WW2, Battle of Britain against Nazi attacks. The 303 Squadron shot three times more Luftwaffe planes than any other allied squadrons.",War,movie,Squadron 303,Dywizjon 303,0,2018,\N,104,"Drama,War"
tt5208252,"A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.Director Chris Weitz's historical thriller is based on the story of how a group of Israeli secret agents arrested notorious SS officer Adolf Eichmann - the man who masterminded the ""Final Solution"" - in Argentina. Oscar Isaac plays the legendary Mossad agent Peter Malkin, while Ben Kingsley plays his emotionally manipulative arch-nemesis. After tracking Eichmann down to Buenos Aires, Malkin and his men captured him and brought him to Israel for a historic 8-month trial.On Christmas Eve in 1944, SS-Obersturmbannführer Adolf Eichmann (Kingsley) flees the Eastern Front to Berlin to coordinate the destruction of documents related to Department B4, going into hiding after the war ends. In Buenos Aires, Sylvia Hermann (Haley Lu Richardson) begins courting Klaus Eichmann (Joe Alwyn). Klaus meets Sylvia and her German-Jewish father, Lothar (Peter Strauss) at home. Klaus speaks of his father's service with the SS but tells Lothar that he had died on the Eastern Front, and that he has been raised by his uncle, Ricardo. Suspicious, Lothar passes this information to West German prosecutor-general Fritz Bauer. Bauer, suspecting Klaus' uncle may in fact be Adolf Eichmann, relays this intelligence to Mossad director Isser Harel (Lior Raz) in Tel Aviv, but Harel is unwilling to devote resources to investigate. At the insistence of Rafi Eitan (Nick Kroll), Harel dispatches field agent Zvi Aharoni (Michael Aronov) to Buenos Aries to begin reconnaissance. At a dinner party celebrating Argentina's 150th anniversary of independence from Spain, Klaus introduces Sylvia to Carlos Fuldner, a former Nazi officer who assisted with SS members escape to Argentina. Fuldner addresses the guests with anti-Semitic rhetoric invoking the Hitlergrüsse, leaving Sylvia visibly disturbed, who promptly leaves..",War,movie,Operation Finale,Operation Finale,0,2018,\N,122,"Biography,Drama,History"
tt4325644,"A woman disguises herself as her dead brother, Henry, in order to survive in the Confederate ranks during the Civil War. He marries a widow to rescue her from an arranged marriage. They keep each others secrets and find true love.During a cavalry skirmish at the battle of Cold Harbor, 'Henry' is shot. His near death experience catalyzes his determination to live and to love fully promising to find Virginia Klaising, the widow that saved his life during Antietam. The Indians hiding high up in the Blue Ridge tell Henry that Virginia is destined to marry an old man she does not love so she can hang onto her farm. When the Indians realize that Henry is a 'two-spirit' they hide him from the Union forces and prepare him to be reunited with his soul mate, Virginia. Eloping on a summer night with fireflies as luminaries, they begin their new life. The secret becomes harder to keep as Henry suffers from PTSD and must confess his battle sins. He recounts a mercy killing of a childhood friend, her child still missing. Going in search of the child, he/she ultimately brings the boy, home.",War,movie,Union,Union,0,2018,\N,135,"Drama,History,War"
tt7996170,"Wilfred Owen returns to the Somme against the advice of his mentor Siegfried Sassoon, determined to follow his subject 'The Pity of War' to the very end.",War,movie,The Burying Party,The Burying Party,0,2018,\N,60,War
tt8032912,"The life story of the brave soldiers of the Pakistan Army, mainly the Pakistan Air Force. Outlining their lives, relationships, duty and hardships.",War,movie,Parwaaz Hai Junoon,Parwaaz Hai Junoon,0,2018,\N,130,"Action,Romance,War"
tt5456782,"Two Air Force Combat Controllers at the end of their careers take on one last mission in Afghanistan. The plot centers around how their famous mission's ""Call For Fire"" has shaped their situation today. They have to deal with unknowingly being pursued by high echelon leaders of the Taliban that are working with some dirty players in the contractor world. A modern day adaptation based on Rosencrantz and Guildenstern from Shakespeare's Hamlet, we follow a similar story arc of the bard's play.A modern-day adaptation of Rosencrantz and Guildenstern from Shakespeare's 'Hamlet.' Two soldiers guard the Prince, a scenario which was easily adapted to fit the current war on terror. Much like the original characters, Crantz and Stern, two Air Force Combat Controllers on one last mission in Afghanistan, still revel in their existential debates within the context of this black comedy, while unknowingly being pursued by high echelon leaders of the Taliban who are working with some dirty players in the contractor world.",War,movie,Call for Fire,Call for Fire,0,2018,\N,102,War
tt7515456,"The exploits of 303 Squadron RAF during the Battle of Britain. The squadron consisted of Polish pilots, many of whom were veterans of the air battles involved in Germany's invasion of Poland.Mission of Honor is the story of Hurricane Squadron 303, a group of brave pilots who fought in the skies over England in WW2, not just to keep Great Britain free from the Nazis, but also to keep alive the very idea of their own country, which had existed in its modern form for barely twenty years before it was crushed between the opposing jaws of Germany and Russia. Equipped with the almost-obsolete Hurricane and (with some initial reluctance) given RAF blue uniforms, while they fought, Poland lived.1940. Great Britain stands alone in Europe against the growing stain of the rampant Nazi empire, its nervous inhabitants wondering what the future holds. But a handful of people on this beleaguered island know only too well what one possible future might hold. They have seen Warsaw burn, Poland crumble, France capitulate. Men like Jan Zumbach, Witold Urbanowicz, Miroslaw Feric and Tolo Lokuciewski, pilots of the Polish Air Force, who know that if the Luftwaffe isn't stopped, then Poland, Holland and France were just Hitler's hors d'oeuvres. So they are ready to fight, if they are given the planes. The problem is the British don't trust 'the bloody Poles'. And so the pilots, strangers in what seems a very strange land indeed, will over the course of a few months have to fight several wars at once - with the xenophobia of the authorities and the public, with the language, the unfamiliar Hurricane fighters, with the battle-hardened Luftwaffe. But once they are reluctantly made operational by the RAF, the Polish fighters show what they can do, out-gunning the enemy and out-scoring their allies. The once hostile British fete the Polish flyers as heroes - saviours, even. Now, though, the Poles have a fresh enemy - themselves, as nerves and fatigue take a terrible toll on men pushed to the limit by constant aerial warfare, fighting to save their own country above a foreign land. Not all will make it. Not all friendships will survive. And when it's over, Jan Zumbach will contemplate a pyrrhic victory, as Poland is handed over to Stalin's puppets.",War,movie,Mission of Honor,Hurricane,0,2018,\N,107,"Action,Drama,War"
tt8731156,"When a family patriarch dies, three brothers must put aside their differences to carry out their father's last wishes, in Yona Rozenkier's tender yet analytical debut examining what it means to be human.",War,movie,The Dive,Hatzlila,0,2018,\N,90,"Drama,War"
tt7831530,"In 1941, Hong Kong was the Casablanca of the East, a city full of war refugees, profiteers and spies. With the sudden attack by Japanese troops, a Canadian soldier's Christmas promise is broken during the Battle of Hong Kong.",War,movie,Christmas at the Royal Hotel,Christmas at the Royal Hotel,0,2018,\N,108,"Drama,History,War"
tt7042862,"A legendary American war veteran is recruited to hunt a mythical creature.Calvin Barr, an old, bitter recluse who was once a legendary assassin for the US government, and whose task to kill Hitler almost changed the course of WWII, is asked to come back from retirement for one final top secret mission - to track down and eliminate a Bigfoot that became infected with a deadly disease that could spread to others if the creature remains on the loose in the forest for too long. During the mission, Barr's WWII past is shown through flashbacks.",War,movie,The Man Who Killed Hitler and Then The Bigfoot,The Man Who Killed Hitler and Then The Bigfoot,0,2018,\N,98,"Adventure,Drama,Sci-Fi"
tt8702938,Reza and his friend Mansoor are pickpockets. When Reza by his mother becomes aware that a rich girl has take an oath to marry a war injured person he decides to get close to her and find a way to marry her and inherit her fortune.,War,movie,Hezarpa,Hezarpa,0,2018,\N,197,"Comedy,Drama,War"
tt7355676,"In a world where the right of the stronger rules, a dwarf of all people brings the male regime of violence to collapse.In a post-apocalyptic world, only the men seem to have survived, and the strongest among them prevail. Among them is a doctor who resides in an abandoned sanitarium. When a self-declared healer and his son make a grab for power, things get disastrously out of hand. Is there any hope left? A man of small stature who wanders among the doomed is the only one who knows of a small island in a river, deep within the forest, where a woman and her child live in secret. Leonel Dietsche's first feature-length film is a gripping movie about end times.",War,movie,Ende Neu,Ende Neu,0,2018,\N,90,"Adventure,Drama,Fantasy"
tt8351882,An Egyptian police officer named General Yousef al-Masri lives in Karamouz neighborhood in Alexandria. The film dates back to the reign of King Farouk before the 1952 revolution in the English occupation of Egypt.,War,movie,No Surrender,Karmouz War,0,2018,\N,114,"Action,Crime,History"
tt8181336,"Serdar, who served as the captain in special forces, loses 16 fellow soldiers as a result of a malicious ambush. He was dismissed because of internal traitors, on the grounds that he disobeyed the order after the operation by turning off the radios in order not to get the return order. The President, aware of the games being played on his country, inside and outside, says that it is time to stop these events and that action must be taken as soon as possible. Upon this, the Undersecretary proposes the establishment of a ghost team to fightback these traitors. Undersecretary Alkan Filiz, who received the necessary permission and authorization, makes an offer to Serdar to take up this special team (T.i.M) consisting of distinguished soldiers and policemen for the undercover assignment. Serdar, who accepts the mission, contends for his brothers in arms who are martyred, their families and their country against the enemies inside and outside with team (T.i.M)",War,movie,T.i.M,Tim,0,2018,\N,\N,"Drama,War"
tt6155374,"The power struggles and wars between the Frisian Redbad and his sworn enemy Pepin of Herstal, Lord of the Franks.700 AD. Northern Europe is divided into two worlds: the Frisians, Saxons and Danes live above the rivers, below the rivers live the Franks. They want to achieve what even the Romans did not succeed: conquer all of Europe. They put in a new weapon to enslave the Gentiles: Christianity. They target Europe's main trading center, where the Frisian king Aldigisl rules.",War,movie,Redbad,Redbad,0,2018,\N,160,"Action,Adventure,Drama"
tt8507312,"In Germany's Hurtgen Forest, during the final days of World War 2, an exhausted and overwhelmed band of American army paratroopers fight for survival amid a deadly hidden threat, escalating internal conflict and seemingly impossible odds.",War,movie,1945 From This Day,1945 From This Day,0,2018,\N,62,"Drama,War"
tt7083846,"Former Australian soldier, Mike Wheeler, returns to Afghanistan, seeking redemption from the family of a civilian man he killed during the war.",War,movie,Jirga,Jirga,0,2018,\N,78,"Drama,War"
tt8595480,"A coming-of-age war musical about a small town boy who gets chosen to serve his compulsory two year military training in the South African Defence Force Choir and Concert group- known as the ""Canaries""- during the height of the Apartheid regime.",War,movie,Kanarie,Canary,0,2018,\N,120,"Drama,Musical,War"
tt8545072,"A Virus is being created to make ""Super-Human"" people to fight wars.An Ex Operative dealing with his past (Spencer Dixon) is asked by a friend and former team member (Jeremy Farnsworth) to go on one last mission to find a missing operative (Samuel Calfy). A new organization is formed under the ""Shadow Man"" An enemy from the past (Kurk Marrotte) is back for vengeance.",War,movie,Woken Terror,Woken Terror,0,2018,\N,100,"Action,War"
tt7550952,"Vecihi Hurkus is undoubtedly one of the most important figures of Turkish aviation history. Hurkus who lived between the years 1896-1969, is the first aircraft designer and manufacturer of the Republic of Turkey. The life of Vecihi Hurkus, a life full of adventure and drama, is transmitted to the white screen with the film ""Hurkus: Hero in the Sky"".",War,movie,Hürkus,Hürkus,0,2018,\N,113,"Biography,History,War"
tt6346970,"A veteran of Iraq whose life spirals out of control because of PTSD, is given a ride by an Iraqi driver who lives in Los Angeles as a refugee. As the two men begin discovering each other's backgrounds, tensions mount.",War,movie,Battle Fields,Battle Fields,0,2018,\N,\N,"Drama,War"
tt7646138,"A traumatized Iraq War refugee joins an Ontario-based terror cell to exact personal revenge on the West, but eventually finds herself torn about her ultimate decision.",War,movie,Afreen,Afreen,0,2018,\N,90,"Thriller,War"
tt8237310,"Based on true events from WWII. The story follows what is left of the Royal Essex Regiment, fighting to stay alive and make it home to the loved ones they left behind.",War,movie,The Code,The Code,0,2018,\N,19,"Drama,History,Romance"
tt6862598,"During his half year in Budapest Raoul devoted everything to his true self. He has lost borders, he has gained courage and created devoted team; together they achieved the impossible. They became few of the few to error the final solution.",War,movie,Raoul's Boys of Budapest,Raoul's Boys of Budapest,0,2018,\N,180,"Drama,War"
tt6704880,A Kurdish female battalion prepares to take back their town from extremists.,War,movie,Girls of the Sun,Les filles du soleil,0,2018,\N,115,"Drama,War"
tt7458714,Mehbooba movie is a romantic love story in the backdrop of 1971 Indo-Pak war.,War,movie,Mehbooba,Mehbooba,0,2018,\N,152,"Action,Drama,Romance"
tt6704974,"Indochina-war, 1945: French Robert is the only survivor of a massacre in which his brother has perished. Blinded by revenge, Robert rejoins the forces in search of the assassins. But meeting the young Indochinese Maï disrupts his mission.",War,movie,To the Ends of the World,Les confins du monde,0,2018,\N,103,"Drama,War"
tt4832918,"During the Second World War 6 prisoners are being held in a prison cell in Concentration Camp Amersfoort, Holland. Their fate is unknown. This night has an impact for many years and in many lives.",War,movie,De Nacht,De Nacht,0,2018,\N,\N,War
tt7969140,"Returning home after fighting in Africa during World War II, a soldier with PTSD finds reintegrating with family life increasingly difficult as he relives the battle of Kasserine Pass.During World War II, German forces crush the Americans at the 'Battle of Kasserine Pass'. A lone Sergeant, Roland Rothach, is separated from his platoon in the North Africa deserts. Captured by German soldiers, he's forced to face his worst fears. Fears that haunt him long after the war ends. Back home he struggles with flashbacks of the horrors and trauma he experienced, a failing marriage, and the emptiness of isolation.",War,movie,Thousand Yard Stare,Thousand Yard Stare,0,2018,\N,91,War
tt8742774,Char gets promoted to a commander with the honorary title of the Red Comet by his action in the Battle of Loum. General Revil is taken prisoner in the battle. Amuro has a desire to know what his father is creating.,War,movie,Mobile Suit Gundam: The Origin VI - Rise of the Red Comet,Mobile Suit Gundam: The Origin VI - Rise of the Red Comet,0,2018,\N,\N,"Action,Animation,Drama"
tt5496628,"In the Life of Music, a story told in three chapters, tells the story of how one song 'Champa Battambang,' a song made famous by Sinn Sisamuth (the King of Khmer Music), plays a role in the lives of three different generations.In the Life of Music tells the story of how one song ""Champa Battambang,"" a song made famous by Sinn Sisamouth (the King of Khmer Music), plays a role in the lives of three different generations. It is a feature narrative told in 3 chapters during 3 different decades, depicting the lives of people whose world is inevitably transformed by the emergence of the Khmer Rouge Regime. It is a powerful intergenerational tale that weaves through 37 years of Cambodia's ever-changing landscape.",War,movie,In the Life of Music,In the Life of Music,0,2018,\N,92,"Drama,Family,History"
tt6324614,"""Sobibor"" is based on the history of the Sobibór extermination camp uprising during WWII and Soviet officer Alexander Pechersky. When he was a POW in Sobibor, he managed to do the impossible - to organize a revolt and mass escape of the prisoners. Many of the escapees were later caught and died - the rest led by Pechersky managed to join the partisans. Script based on the book by Ilya Vasiliev: ""Alexander Pechersky: Breakthrough to Immortality""",War,movie,Sobibor,Sobibor,0,2018,\N,110,"Drama,History,War"
tt6098808,"'101' is in reverence to Abel Gance's film 'J'accuse!' which is regarded as one of the most important ant-war films in history. For which reason, '101' has been produced on the basis of a silent structure. The film deals with the Battle of Tannenberg, which was fought in 1914 in East Prussia. It ended in victory for the Germans over the Russian armed forces. The commander-in-chief of the German army, Paul von Hindenburg, would go down in history as the 'victor of Tannenberg' because the German command decided to name the battle after the village of Tannenberg, which was located close to where the fighting actually took place. In this way, the Germans were trying to debunk the history of a defeat they had suffered in the first Battle of Tannenberg more than 500 years earlier in 1410. '101' is also concerned with today's world, which is shown from the perspective of the same protagonists playing the historic roles in the film. Theire viewpoints in the form of documentary tableaus are immersed in the main plot of the film in accordance with a subjective musical narration, as is characteristic for a silent film. '101' is an artistic view of the world today in a specific historic context, one which raises the question of whether, 101 years after the outbreak of World War I, it even makes sense anymore to shoot a further anti-ware film? And whether it is even worthwhile today to revere the film 'J'accuse!' which has sunk almost into oblivion.""101"" is in reverence to Abel Gance's film ""J'accuse!"" which is regarded as one of the most important anti-war films in history. Hence, ""101"" followed a silent film structure. The film deals with the Battle of Tannenberg, which was fought in 1914 in East Prussia. It ended in victory for the Germans over the Russian armed forces.",War,movie,101,101,0,2018,\N,83,War
tt7473390,"Temüjin and Börte are childhood lovers who are deeply in love; but news of Temüjin's father's death swiftly disrupted their relationship. Temüjin heads back to his hometown, but was faced with a sudden attack from his father's former comrades.",War,movie,Genghis Khan,Zhan shen ji,0,2018,\N,\N,"Action,Adventure,Biography"
tt6142146,A diverse group of people grapple with the imminent probability of a nuclear strike on the east coast.,War,movie,Sunset,Sunset,0,2018,\N,84,"Drama,War"
tt4524418,"Rusty Wittenburg is a Navy SEAL struggling to balance his family life and his job. He fights daily to maintain the line between reality and the nightmares his PTSD conjures up for him. Dedicated to his team and his mission, he is willing to give the ultimate sacrifice for his fellow brothers and teammates.",War,movie,American Warfighter,Warfighter,0,2018,\N,105,"Action,Drama,Romance"
tt8731342,"In a world ravaged by war, children are forced to take up arms against ""The Front"".",War,movie,The Front,The Front,0,2018,\N,45,"Action,Drama,War"
tt6200656,Kammaran Nambiar is a crooked man whose life story as an unscrupulous Indian peasant is turned into a film where he is glorified as a freedom fighter with much manipulation of history.,War,movie,Kammara Sambhavam,Kammara Sambhavam,0,2018,\N,182,"Action,Comedy,Drama"
tt7170698,"A Portuguese soldier, who got stranded from his team during the La Lys battle, struggles by himself through dozens of German offensives so he can guarantee the safety of his companions.",War,movie,Soldado Milhões,Soldado Milhões,0,2018,\N,85,"Biography,History,War"
tt6683070,"Two best friends are pitted against each other when a new girl comes to town, matters are further complicated when they enlist together in the U S Army to fight in the Persian Gulf War, the men and their unit captured by Iraqi forces and must work together with other prisoners of war to escape Operation Desert Storm.",War,movie,Thirst,Thirst,0,2018,\N,111,War
tt9198994,"Agent Robinson must rally the 'SPIES, Incorporated' team in desperate pursuit of an incredibly dangerous artifact. Two things, however, stand in his way: An antique town seemingly full of mysteries and the haunting memory of his arch nemesis, Natasha Klinskaya.",Action,movie,"Spies, Incorporated: Night of the Harem Tent","Spies, Incorporated: Night of the Harem Tent",0,2018,\N,66,"Action,Mystery,Thriller"
tt9099634,"Follow-up to the film ""The Theta Girl."" Ros Shogun, granddaughter of the creator of the drug Theta, recruits a gang of badass chicks to create a new Theta-based drug empire.",Action,movie,Azrael,Azrael,0,2018,\N,\N,Action
tt9000440,A down on his luck stupid nobody gets his world thrown in a loop thanks to his new room mate......a ninja!,Action,movie,Geoff and the Ninja,Geoff and the Ninja,0,2018,\N,70,"Action,Adventure,Comedy"
tt8785020,"Divya Mani is the story about an ordinary person Naamalu (Suresh Kamal) who becomes extraordinary by the possession of Divyamani, a divine gem. The journey of him finding the gem forms the essence of the story.",Action,movie,Divya Mani,Divya Mani,0,2018,\N,\N,"Action,Drama"
tt8744572,Fujiwara Manchester is a space adventurer living in XXVII century who need to fight with a terrible enemy and with the government for a power jewel that could lead to the destruction of the galaxy.,Action,movie,The Adventures of Fujiwara Manchester Movie,The Adventures of Fujiwara Manchester Movie,0,2018,\N,117,"Action,Adventure,Animation"
